ID,MakeText,ModelText,ModelTypeText,TypeName,TypeNameFull,BodyColorText,BodyTypeText,Ccm,City,Co2EmissionText,ConditionTypeText,ConsumptionRatingText,ConsumptionTotalText,Doors,DriveTypeText,FirstRegMonth,FirstRegYear,FuelTypeText,Hp,InteriorColorText,Km,Properties,Seats,TransmissionTypeText
1068.0,Maserati,QUATTROPORTE,Quattroporte 4.2,Quattroporte 4.2,MASERATI Quattroporte 4.2,Silver,Limousine,4244,Zuzwil,370 g/km,Occasion,G,15.8 l/100km,4,Hinterradantrieb,10,2005,Benzin,400,braun,33500,"\"Ab MFK\"",5,Automatisiertes Schaltgetriebe
1069.0,MERCEDES-BENZ,SL 500,SL 500,SL 500,MERCEDES-BENZ SL 500,Silver,Cabriolet,4971,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,1,1995,Benzin,320,null,96600,"\"Ab MFK\"",0,Automat
107.0,Bentley,ARNAGE,Arnage Red Label,Arnage Red Label,BENTLEY Arnage Red Label,Blue,Limousine,6761,Zuzwil,456 g/km,Occasion,G,19.2 l/100km,4,Hinterradantrieb,5,2000,Benzin,405,grau,19300,"\"Ab MFK\"",5,Automat
1070.0,Bentley,CONTINENTAL,Continental GT Speed 6.0,Continental GT Speed 6.0,BENTLEY Continental GT Speed 6.0,Silver,Coupé,5998,St. Gallen,338 g/km,Occasion,G,14.5 l/100km,2,Allrad,9,2015,Benzin,635,schwarz,5000,"\"Ab MFK\"",4,Automat
1071.0,Jaguar,"",D-Type XKD525,D-Type XKD525,JAGUAR D-Type XKD525,Purple,Coupé,3442,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,7,1956,Benzin,256,beige,5300,null,2,Schaltgetriebe
1072.0,Chevrolet,CORVETTE,CORVETTE C2,C2,CHEVROLET CORVETTE C2,Purple,Coupé,5351,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,6,1967,Benzin,0,schwarz,21300,"\"Ab MFK\"",2,Schaltgetriebe
1073.0,Renault,R5,R5 1400 Alpine Turbo,R5 1400 Alpine Turbo,RENAULT R5 1400 Alpine Turbo,Purple,Kleinwagen,1397,Zuzwil,null,Occasion,null,null,3,Vorderradantrieb,3,1982,Benzin,108,beige,77900,"\"Ab MFK\"",4,Schaltgetriebe manuell
1074.0,MERCEDES-BENZ,E 50 AMG,E 50 AMG Avantgarde,E 50 AMG Avantgarde,MERCEDES-BENZ E 50 AMG Avantgarde,Purple,Limousine,4973,Zuzwil,315 g/km,Occasion,null,13.5 l/100km,4,Hinterradantrieb,3,1997,Benzin,347,schwarz,67400,"\"Ab MFK\"",5,Automat
1075.0,Lamborghini,DIABLO,Diablo 5.7 SV,Diablo 5.7 SV,LAMBORGHINI Diablo 5.7 SV,Purple,Coupé,5707,Porrentruy,575 g/km,Occasion,null,24.9 l/100km,2,Hinterradantrieb,1,1999,Benzin,530,bordeaux,44500,null,2,Schaltgetriebe manuell
1076.0,MERCEDES-BENZ,S 500,S 500,S 500,MERCEDES-BENZ S 500,Purple,Limousine,4966,Zuzwil,320 g/km,Occasion,G,13.4 l/100km,4,Hinterradantrieb,10,1999,Benzin,306,schwarz,32000,"\"Ab MFK\"",5,Automat
1077.0,Maserati,COUPÉ GT,Coupé GT,Coupé GT,MASERATI Coupé GT,White,Coupé,4244,Zuzwil,400 g/km,Occasion,null,17.5 l/100km,2,Hinterradantrieb,7,2002,Benzin,390,beige,95300,"\"Ab MFK\"",4,Automatik-Getriebe
1078.0,Aston Martin,V8 Vantage,V8 Vantage 4.7,V8 Vantage 4.7,ASTON MARTIN V8 Vantage 4.7,White,Cabriolet,4735,Zuzwil,312 g/km,Vorführmodell,G,13.2 l/100km,2,Hinterradantrieb,7,2010,Benzin,426,schwarz,9000,"\"Ab MFK\"",2,Automatisiertes Schaltgetriebe
1079.0,MERCEDES-BENZ,ML 400,ML 400 CDI,ML 400 CDI,MERCEDES-BENZ ML 400 CDI,White,SUV / Geländewagen,3996,Zuzwil,288 g/km,Occasion,G,10.9 l/100km,5,Allrad,2,2002,Diesel,250,schwarz,148300,"\"Ab MFK\"",5,Automat
